appId,appName,rank,cateId,cateName,tradeId,tradeName,developCompanyId,developCompanyAbbr,developCompanyFullName,monthActiveNums,monthActiveNumsRatio,dayActiveNums,dayActiveNumsRatio,status,statDateStr,monthStatDate,dayStatDate
2012576,aillis相机,1875,103,摄影摄像,1031028,拍照及图片处理,4026,LINE Corporation,LINE Corporation,54.8437977733,-0.04373912049997698,,,1,,1543593600000,
3124305,别样,1876,120,移动购物,1201184,跨境电商,6064,别样时尚,北京别样时尚技术有限公司,54.80018199,0.10174702640853892,,,1,,1543593600000,
2790228,闪送员,1877,104,生活,1111120,快递/配送,1567,同城必应,北京同城必应科技有限公司,54.7595965567,-0.015945922396483552,,,1,,1543593600000,
2027904,地铁通(com.tc.cm),1878,132,交通出行,1171150,公共交通,604,景点通,北京景点通科技有限公司,54.7219815267,-0.054174438552449675,,,1,,1543593600000,
3790852,斗地主(com.zongyi.doudizhuver5),1879,318,TAB(桌面游戏),3181058,棋牌,,,,54.6857903767,-0.12124685619980556,,,1,,1543593600000,
5399823,贪吃小怪物,1880,319,休闲,3191062,控制,,,,54.6554911733,0.05932357070710509,,,1,,1543593600000,
6556910,爱飒漫画,1881,133,动漫娱乐,1101244,漫画,50625,成都二次元动漫,成都二次元动漫有限公司,54.6551844933,0.01779868159011973,,,1,,1543593600000,
2022697,宝宝调色屋,1882,101,教育,1011007,儿童教育,47,宝宝巴士,宝宝巴士(福建)网络科技有限公司,54.6139793067,0.009205783422439807,,,1,,1543593600000,
5000892,泰剧大全,1883,108,视频,1081081,综合视频,9066,南京乐酷,南京乐酷网络科技有限公司,54.57537152,0.007934149729950688,1.93407292096,-0.004442661317782623,1,,1543593600000,1548691200000
3102483,老来网,1884,135,医疗,1351264,医疗学术,6485,老来网,北京老来网科技发展有限公司,54.3373145467,0.02242402545809761,,,1,,1543593600000,
